LAST SEEN   TYPE      REASON              OBJECT                             MESSAGE
2m27s       Normal    Scheduled           pod/probe-demo-85d6b844cc-bh6rt    Successfully assigned probes-lab/probe-demo-85d6b844cc-bh6rt to ip-192-168-42-80.us-west-2.compute.internal
2m27s       Normal    SuccessfulCreate    replicaset/probe-demo-85d6b844cc   Created pod: probe-demo-85d6b844cc-bh6rt
2m27s       Normal    ScalingReplicaSet   deployment/probe-demo              Scaled up replica set probe-demo-85d6b844cc from 0 to 1
2m26s       Normal    Pulling             pod/probe-demo-85d6b844cc-bh6rt    Pulling image "521544910957.dkr.ecr.us-west-2.amazonaws.com/probes-repo:v1"
2m23s       Normal    Pulled              pod/probe-demo-85d6b844cc-bh6rt    Successfully pulled image "521544910957.dkr.ecr.us-west-2.amazonaws.com/probes-repo:v1" in 3.073s (3.073s including waiting). Image size: 48119469 bytes.
22s         Normal    Created             pod/probe-demo-85d6b844cc-bh6rt    Created container: app
22s         Normal    Started             pod/probe-demo-85d6b844cc-bh6rt    Started container app
22s         Normal    Pulled              pod/probe-demo-85d6b844cc-bh6rt    Container image "521544910957.dkr.ecr.us-west-2.amazonaws.com/probes-repo:v1" already present on machine
12s         Warning   Unhealthy           pod/probe-demo-85d6b844cc-bh6rt    Liveness probe failed: HTTP probe failed with statuscode: 503
12s         Normal    Killing             pod/probe-demo-85d6b844cc-bh6rt    Container app failed liveness probe, will be restarted
