13m         Warning   BackOff             pod/probe-demo-85d6b844cc-bh6rt    Back-off restarting failed container app in pod probe-demo-85d6b844cc-bh6rt_probes-lab(98e88b17-1676-48c1-bbc8-5da7ce243a5a)
6m6s        Normal    SuccessfulCreate    replicaset/probe-demo-5dbff9769f   Created pod: probe-demo-5dbff9769f-ntqkb
6m6s        Normal    SuccessfulCreate    replicaset/probe-demo-9f586cbff    Created pod: probe-demo-9f586cbff-dd9sx
6m6s        Normal    ScalingReplicaSet   deployment/probe-demo              Scaled up replica set probe-demo-9f586cbff from 1 to 2
6m6s        Normal    ScalingReplicaSet   deployment/probe-demo              Scaled up replica set probe-demo-5dbff9769f from 0 to 1
6m5s        Normal    Started             pod/probe-demo-5dbff9769f-ntqkb    Started container app
6m5s        Normal    Created             pod/probe-demo-5dbff9769f-ntqkb    Created container: app
6m5s        Normal    Pulled              pod/probe-demo-5dbff9769f-ntqkb    Container image "521544910957.dkr.ecr.us-west-2.amazonaws.com/probes-repo:v1" already present on machine
6m5s        Normal    Pulling             pod/probe-demo-9f586cbff-dd9sx     Pulling image "521544910957.dkr.ecr.us-west-2.amazonaws.com/probes-repo:v1"
6m2s        Normal    Created             pod/probe-demo-9f586cbff-dd9sx     Created container: app
6m2s        Normal    Started             pod/probe-demo-9f586cbff-dd9sx     Started container app
6m2s        Normal    Pulled              pod/probe-demo-9f586cbff-dd9sx     Successfully pulled image "521544910957.dkr.ecr.us-west-2.amazonaws.com/probes-repo:v1" in 3.071s (3.071s including waiting). Image size: 48119469 bytes.
6m1s        Warning   Unhealthy           pod/probe-demo-5dbff9769f-ntqkb    Readiness probe failed: HTTP probe failed with statuscode: 503
6m1s        Warning   Unhealthy           pod/probe-demo-9f586cbff-dd9sx     Startup probe failed: HTTP probe failed with statuscode: 503
5m59s       Normal    Started             pod/probe-demo-5dbff9769f-k9h9b    Started container app
5m59s       Normal    Pulled              pod/probe-demo-5dbff9769f-k9h9b    Container image "521544910957.dkr.ecr.us-west-2.amazonaws.com/probes-repo:v1" already present on machine
5m59s       Normal    ScalingReplicaSet   deployment/probe-demo              Scaled up replica set probe-demo-5dbff9769f from 1 to 2
5m59s       Normal    SuccessfulCreate    replicaset/probe-demo-5dbff9769f   Created pod: probe-demo-5dbff9769f-k9h9b
5m59s       Normal    Created             pod/probe-demo-5dbff9769f-k9h9b    Created container: app
5m59s       Normal    SuccessfulDelete    replicaset/probe-demo-9f586cbff    Deleted pod: probe-demo-9f586cbff-dd9sx
5m59s       Normal    ScalingReplicaSet   deployment/probe-demo              Scaled down replica set probe-demo-9f586cbff from 2 to 1
5m58s       Normal    Killing             pod/probe-demo-9f586cbff-dd9sx     Stopping container app
5m53s       Normal    SuccessfulDelete    replicaset/probe-demo-9f586cbff    Deleted pod: probe-demo-9f586cbff-7vxcg
5m53s       Normal    Killing             pod/probe-demo-9f586cbff-7vxcg     Stopping container app
5m53s       Normal    ScalingReplicaSet   deployment/probe-demo              Scaled down replica set probe-demo-9f586cbff from 1 to 0
4m57s       Normal    Pulling             pod/curl                           Pulling image "curlimages/curl:8.10.1"
4m55s       Normal    Started             pod/curl                           Started container curl
4m55s       Normal    Created             pod/curl                           Created container: curl
4m55s       Normal    Pulled              pod/curl                           Successfully pulled image "curlimages/curl:8.10.1" in 1.762s (1.762s including waiting). Image size: 9414401 bytes.
56s         Warning   Unhealthy           pod/probe-demo-5dbff9769f-k9h9b    Readiness probe failed: HTTP probe failed with statuscode: 503
